,osmid,oneway,highway,length,geometry,ref,name,bridge,tunnel,lanes,maxspeed,service,junction,width,access
47,"[822094726, 32815663]",False,"['trunk', 'trunk_link']",581.976,"LINESTRING (128.5792531 35.9037443, 128.5797465 35.9037642, 128.5807013 35.9037729, 128.5822034 35.9037642, 128.5828256 35.9038077, 128.5833299 35.9039988, 128.5836625 35.9042509, 128.58392 35.9046072, 128.5842955 35.905146, 128.5845001 35.905603)",,서변대교,yes,,,,,,,
48,32815673,False,trunk_link,30.721,,,,,,,,,,,
49,32815673,False,trunk_link,47.689,,,,,,,,,,,
50,55691910,False,trunk_link,87.934,"LINESTRING (128.5984683 35.9158864, 128.5987458 35.9159587, 128.5990297 35.9159311, 128.5991659 35.9158453, 128.5992889 35.9156913)",,,,,,,,,,
51,577716110,False,primary,18.606,,61,중앙대로,,,,,,,,
52,577716125,False,primary,126.283,,61,중앙대로,,,,,,,,
53,549043589,False,trunk_link,25.585,"LINESTRING (128.5983792 35.8881, 128.5985384 35.8881699, 128.5985435 35.8881721, 128.5986359 35.8881964)",,,,,,,,,,
54,55414726,False,primary,200.56,,61,중앙대로,yes,,,,,,,
55,577716105,False,primary,19.073,,61,중앙대로,,,,,,,,
56,579775393,False,trunk_link,61.70400000000001,"LINESTRING (128.5985941 35.8888134, 128.5986305 35.8887009, 128.5987031 35.8885884, 128.5988238 35.888489, 128.5989892 35.8883808)",,,,,,,,,,
57,579775400,False,trunk_link,40.480000000000004,"LINESTRING (128.5985941 35.8888134, 128.5984435 35.8887565, 128.598361 35.8887485, 128.5982884 35.8887659, 128.5981894 35.8888269)",,,,,,,,,,
58,35971640,False,secondary,45.483,,,침산로,,,,,,,,
59,37402964,False,tertiary,92.734,,,칠성남로,,,,,,,,
60,37402964,False,tertiary,33.005,,,칠성남로,,,,,,,,
61,32895746,False,primary,194.834,"LINESTRING (128.5951091 35.8777322, 128.5951567 35.8778919, 128.5956217 35.8792438, 128.5956777 35.8794226)",61,중앙대로,,,,,,,,
62,37402964,False,tertiary,79.796,"LINESTRING (128.5951091 35.8777322, 128.5948883 35.8777814, 128.5942501 35.8779067)",,칠성남로,,,,,,,,
63,37402964,False,tertiary,88.687,"LINESTRING (128.5951091 35.8777322, 128.5953334 35.8776904, 128.596069 35.8775556)",,칠성남로,,,,,,,,
64,37402570,False,tertiary,108.844,,,칠성시장로,,,,,,,,
65,37402964,False,tertiary,76.816,,,칠성남로,,,,,,,,
66,37402964,False,tertiary,158.816,,,칠성남로,,,,,,,,
67,306246677,False,residential,62.566,,,칠성시장로7길,,,,,,,,
68,661869970,False,residential,74.957,,,칠성시장로,,,,,,,,
69,37402944,False,tertiary,16.444,,,대구체육관로,,,4,,,,,
70,577716099,False,secondary,15.2,,13,연암로,,,,,,,,
71,584385628,False,secondary,49.635,,13,연암로,,,,,,,,
72,37402005,False,secondary,54.922,,,옥산로,,,,,,,,
73,760608757,False,secondary,52.058,,,원대로,,,,,,,,
74,760608762,False,secondary,49.367000000000004,"LINESTRING (128.5819062 35.8850889, 128.5818268 35.8848625, 128.5817625 35.8846605)",,원대로,,,,,,,,
75,760609960,False,secondary,41.589,"LINESTRING (128.5819062 35.8850889, 128.5816007 35.8852883, 128.5815401 35.8853156)",,,,,,,,,,
76,37402970,False,primary,22.71,,,침산남로,,,,,,,,
77,37402970,False,primary,17.85,,,침산남로,,,,,,,,
78,577716125,False,primary,16.597,,61,중앙대로,,,,,,,,
79,577716125,False,primary,185.343,,61,중앙대로,,,,,,,,
80,532888838,False,secondary,152.754,,,성북로,,,,,,,,
81,532888838,False,secondary,60.125,,,성북로,,,,,,,,
82,532888842,False,secondary,118.698,,,침산로,,,,,,,,
83,532888842,False,secondary,106.315,"LINESTRING (128.5898219 35.8918344, 128.5897769 35.8919866, 128.5897757 35.8927862)",,침산로,,,,,,,,
84,55482257,False,primary_link,185.51,"LINESTRING (128.5471846 35.9055825, 128.5471053 35.9053367, 128.5469071 35.9043905, 128.5468013 35.9039441)",,,,,,,,,,
85,"[37394335, 55482243, 865204319]",False,primary,485.04699999999997,"LINESTRING (128.5471846 35.9055825, 128.547146 35.9053104, 128.5467992 35.9037074, 128.5467515 35.903325, 128.5467495 35.9031337, 128.5467969 35.9028925, 128.5468814 35.9026351, 128.54701 35.90234, 128.54729 35.90173, 128.5473571 35.9015444, 128.547432 35.9013356)","['4', '4;5;25']","['팔달고가차도', '칠곡중앙대로']",yes,,,,,,,
86,865204319,False,primary,907.192,"LINESTRING (128.5471846 35.9055825, 128.5473672 35.9064436, 128.5475707 35.9072129, 128.5477184 35.9076133, 128.5479923 35.9082322, 128.5481745 35.9086335, 128.5482623 35.909006, 128.5483653 35.9097469, 128.5484515 35.9107702, 128.54848 35.9115, 128.5484024 35.9134051, 128.54846 35.9136082)",4,칠곡중앙대로,,,,,,,,
87,37399443,False,secondary,69.997,,,구암로,,,,,,,,
88,37399443,False,secondary,23.104,,,구암로,,,,,,,,
89,780821112,False,primary,54.84,,,,,,,,,,,
90,780821112,False,primary,68.962,,,,,,,,,,,
91,561124992,False,primary,56.957,,4,칠곡중앙대로,,,,,,,,
92,780821113,False,primary,32.321,,4,칠곡중앙대로,,,,,,,,
93,468590004,False,secondary,57.801,"LINESTRING (128.5464866 35.9205282, 128.5463058 35.9206502, 128.5461074 35.9208143, 128.5460281 35.9208904)",4,태전로,,,,,,,,
94,37398821,False,residential,177.399,"LINESTRING (128.6106276 35.8797295, 128.6097569 35.8802288, 128.6090161 35.8806462)",,대현남로5길,,,,,,,,
95,584386583,False,secondary,30.481,,,경대로,,,,,,,,
96,584386583,False,secondary,40.208,,,경대로,,,,,,,,
97,35971686,False,tertiary,251.787,,,침산로22길,,,,,,,,
98,577716125,False,primary,86.941,,61,중앙대로,,,,,,,,
99,577716125,False,primary,98.48,,61,중앙대로,,,,,,,,
100,35971686,False,tertiary,191.839,,,침산로22길,,,,,,,,
101,577716121,False,tertiary,99.414,,,호암로,,,,,,,,
102,720844417,False,tertiary,140.316,,,침산로22길,,,,,,,,
103,893031131,False,residential,115.211,,,,,,,,,,,
104,37402970,False,primary,49.044,,,침산남로,,,,,,,,
105,37402970,False,primary,259.951,,,침산남로,,,,,,,,
106,35971687,False,residential,289.708,"LINESTRING (128.5953627 35.8874058, 128.5952407 35.8870519, 128.5947083 35.8855071, 128.594552 35.8850536, 128.5944978 35.8848964)",,침산남로,,,,,,,,
107,35971686,False,tertiary,191.839,,,침산로22길,,,,,,,,
108,35971686,False,tertiary,251.787,,,침산로22길,,,,,,,,
109,887853913,False,service,21.052,,,,,,,,,,,
110,35971687,False,residential,289.70799999999997,"LINESTRING (128.5944978 35.8848964, 128.594552 35.8850536, 128.5947083 35.8855071, 128.5952407 35.8870519, 128.5953627 35.8874058)",,침산남로,,,,,,,,
111,35971640,False,secondary,205.285,,,침산로,,,,,,,,
112,35971640,False,secondary,228.536,,,침산로,,,,,,,,
113,35971706,False,tertiary,247.809,,,침산로21길,,,,,,,,
114,720844417,False,tertiary,140.316,,,침산로22길,,,,,,,,
115,35971706,False,tertiary,237.613,,,침산로21길,,,,,,,,
116,37400951,False,tertiary,295.837,"LINESTRING (128.5856909 35.8866697, 128.58607 35.88782, 128.5861874 35.8882199, 128.58649 35.88925)",,옥산로17길,,,,,,,,
117,37400951,False,tertiary,262.563,"LINESTRING (128.5856909 35.8866697, 128.58549 35.886, 128.58525 35.88531, 128.5849596 35.8849101, 128.5845413 35.8845545)",,옥산로17길,,,,,,,,
118,32895746,False,primary,87.763,,61,중앙대로,,,,,,,,
119,37402966,False,tertiary,83.778,,,칠성로,,,,,,,,
120,37402966,False,tertiary,304.527,,,칠성로,,,,,,,,
121,32895746,False,primary,194.834,"LINESTRING (128.5956777 35.8794226, 128.5956217 35.8792438, 128.5951567 35.8778919, 128.5951091 35.8777322)",61,중앙대로,,,,,,,,
122,37402967,False,residential,20.125,,,,,,,,,,,
123,661869972,False,secondary,59.129,,,신암로,,,,,,,,
124,55779529,False,secondary,85.2,"LINESTRING (128.6057763 35.8749978, 128.6060955 35.8755786, 128.6061501 35.8757013)",,신암로,,,,,,,,
125,35971830,False,residential,67.602,,,팔달북로8길,,,,,,,,
126,37400348,False,tertiary,228.891,,,팔달북로,,,,,,,,
127,37400348,False,tertiary,257.114,,,팔달북로,,,,,,,,
128,35971788,False,secondary,147.818,,,노원로17길,,,,,,,,
129,37399794,False,residential,20.973,,,노원동로,,,,,,,,
130,136596320,False,primary,396.474,,4;25,노원로,,,,,,,,
131,136596320,False,primary,95.289,"LINESTRING (128.5712252 35.8947864, 128.5709729 35.8946455, 128.570353 35.8943015)",4;25,노원로,,,,,,,,
132,35971788,False,secondary,119.057,,,노원로17길,,,,,,,,
133,37398723,False,tertiary,414.437,"LINESTRING (128.5679935 35.8986337, 128.56916 35.89917, 128.57072 35.89987, 128.57199 35.90048)",,3공단로,,,,,,,,
134,37398723,False,tertiary,393.859,"LINESTRING (128.5679935 35.8986337, 128.56653 35.89799, 128.56416 35.89693)",,3공단로,,,,,,,,
135,"[55779697, 55779698, 55779699, 37399772]",False,secondary,528.9110000000001,"LINESTRING (128.5679935 35.8986337, 128.5661278 35.9007986, 128.5659057 35.901079, 128.5658171 35.9011987, 128.5648217 35.902631)",,노원로17길,yes,yes,,,,,,
136,35971830,False,residential,116.775,,,팔달북로8길,,,,,,,,
137,35971830,False,residential,68.822,,,팔달북로8길,,,,,,,,
138,35971832,False,residential,102.023,,,3공단로14길,,,,,,,,
139,"[55414722, 720388429]",False,residential,455.297,"LINESTRING (128.5616809 35.8936962, 128.5632173 35.8932094, 128.5659421 35.8948631)",,"['노원로1길', '3공단로14길']",,,,,,,,
140,35971830,False,residential,390.923,,,팔달북로8길,,,,,,,,
141,35971830,False,residential,46.076,,,팔달북로8길,,,,,,,,
142,37398710,False,secondary,164.628,,,노원로9길,,,,,,,,
143,37398710,False,secondary,115.711,,,노원로9길,,,,,,,,
144,35971788,False,secondary,119.057,,,노원로17길,,,,,,,,
145,35971788,False,secondary,115.519,,,노원로17길,,,,,,,,
146,35971830,False,residential,390.923,,,팔달북로8길,,,,,,,,
147,35971788,False,secondary,115.519,,,노원로17길,,,,,,,,
148,35971788,False,secondary,135.09699999999998,"LINESTRING (128.5694869 35.8969055, 128.570147 35.8961007, 128.570317 35.8958936)",,노원로17길,,,,,,,,
149,37398722,False,residential,386.916,"LINESTRING (128.5694869 35.8969055, 128.57144 35.89803, 128.5729715 35.89894)",,노원로1길,,,,,,,,
150,37398722,False,residential,391.83500000000004,"LINESTRING (128.5694869 35.8969055, 128.5686 35.8964, 128.5659421 35.8948631)",,노원로1길,,,,,,,,
151,35971832,False,residential,85.927,,,3공단로14길,,,,,,,,
152,473673888,False,residential,71.37,,,팔달북로18길,,,,,,,,
153,37398723,False,tertiary,127.19999999999999,"LINESTRING (128.5603983 35.8950294, 128.56141 35.89557, 128.5615808 35.8956545)",,3공단로,,,,,,,,
154,37398723,False,tertiary,203.186,"LINESTRING (128.5603983 35.8950294, 128.55946 35.89458, 128.5584122 35.8941663)",,3공단로,,,,,,,,
155,43545585,False,secondary,29.222,,,조야로,,,,,,,,
156,549043599,False,secondary,358.11199999999997,"LINESTRING (128.5779651 35.9074371, 128.5780725 35.907199, 128.5785101 35.9050472, 128.5786732 35.9043556, 128.5786942 35.9042752)",,조야교,yes,,,,,,,
157,825759084,False,residential,24.534,"LINESTRING (128.5779651 35.9074371, 128.5780407 35.9075385, 128.5781626 35.9075648)",,,,,,,,,,
158,43545585,False,secondary,4.457,,,조야로,,,,,,,,
159,43545585,False,secondary,109.98,,,조야로,,,,,,,,
160,474701102,False,residential,21.564,,,조야로5길,,,,,,,,
161,43545585,False,secondary,40.33,,,조야로,,,,,,,,
162,43545585,False,secondary,29.639,,,조야로,,,,,,,,
163,888869138,False,residential,8.69,,,,,,,,,,,
164,43545583,False,residential,13.218,,,조야로12길,,,,,,,,
165,888871211,False,service,13.218,,,,,,,,parking_aisle,,,
166,43545585,False,secondary,5.371,,,조야로,,,,,,,,
167,35971843,False,secondary,56.111,,,,,,,,,,,
168,524446027,False,secondary,146.075,,,신천동로,,,,,,,,
169,"[306234089, 35971843, 306234105]",False,secondary,421.627,"LINESTRING (128.5963178 35.9033904, 128.5963129 35.9035359, 128.5965463 35.907089, 128.5965882 35.9071703)",,조야로2길,yes,,,,,,,
170,524446027,False,secondary,188.117,"LINESTRING (128.5963178 35.9033904, 128.5977294 35.9036729, 128.5983065 35.9038866)",,신천동로,,,,,,,,
171,35971844,False,residential,129.303,,,조야로2길,,,,,,,,
172,306234105,False,secondary,368.872,,,조야로2길,,,,,,,,
173,"[306234105, 35971843, 306234089]",False,secondary,421.627,"LINESTRING (128.5965882 35.9071703, 128.5965463 35.907089, 128.5963129 35.9035359, 128.5963178 35.9033904)",,조야로2길,yes,,,,,,,
174,35971844,False,residential,31.385,,,조야로2길,,,,,,,,
175,43545585,False,secondary,55.054,,,조야로,,,,,,,,
176,43545585,False,secondary,29.222,,,조야로,,,,,,,,
177,734030149,False,residential,295.182,,,학정동로,,,,,,,,
178,734030149,False,residential,15.606,,,학정동로,,,,,,,,
179,822099704,False,tertiary,261.419,"LINESTRING (128.5671705 35.9463857, 128.5681268 35.9464116, 128.5685907 35.9465182, 128.57 35.946842)",,구리로,,,,,,,,
180,822099704,False,tertiary,259.726,"LINESTRING (128.5671705 35.9463857, 128.5669649 35.9464147, 128.5666439 35.9464407, 128.5664874 35.9464533, 128.5664657 35.9464521, 128.5662935 35.9464423, 128.565972 35.9464239, 128.5642962 35.9463285)",,구리로,,,,,,,,
181,55413693,False,tertiary,91.621,,,구리로,,,,,,,,
182,55413693,False,tertiary,53.497,"LINESTRING (128.5579644 35.9462101, 128.5581546 35.9461687, 128.5585383 35.9460852)",,구리로,,,,,,,,
183,893588692,False,service,145.192,"LINESTRING (128.5579644 35.9462101, 128.5579133 35.9463683, 128.5574277 35.9469316, 128.556991 35.9472185)",,,,,,,,,,
184,55413693,False,tertiary,69.955,,,구리로,,,,,,,,
185,55413693,False,tertiary,44.371,"LINESTRING (128.5561963 35.94596, 128.5559086 35.9457965, 128.5557929 35.9457307)",,구리로,,,,,,,,
186,893588691,False,service,74.91300000000001,"LINESTRING (128.5561963 35.94596, 128.5561835 35.946115, 128.5565098 35.946561)",,,,,,,,,,
187,37400231,False,secondary,42.7,,,동암로,,,,,,,,
188,37400231,False,secondary,149.395,"LINESTRING (128.5557929 35.9457307, 128.55696 35.94529, 128.5573067 35.9451814)",,동암로,,,,,,,,
189,55413693,False,tertiary,44.371,"LINESTRING (128.5557929 35.9457307, 128.5559086 35.9457965, 128.5561963 35.94596)",,구리로,,,,,,,,
190,35971919,False,residential,78.183,,,구암서로,,,,,,,,
191,35971946,False,secondary,132.63,,,대천로,,,,,,,,
