,osmid,oneway,highway,length,geometry,name,bridge,lanes,ref,maxspeed,tunnel,service,junction,width,access
18,55483226,TRUE,primary_link,61.602,"LINESTRING (128.6126108 35.8986034, 128.6127813 35.898456, 128.6131019 35.8983188, 128.6131658 35.898292)",,,,,,,,,,
19,474159852,FALSE,service,21.48,,,,,,,,,,,
20,474159852,FALSE,service,111.108,"LINESTRING (128.5594235 35.9407158, 128.5595079 35.9407116, 128.5599269 35.9406567, 128.5599669 35.940764, 128.5595602 35.9408064, 128.5594235 35.9407158)",,,,,,,,,,
21,474159852,FALSE,service,111.108,"LINESTRING (128.5594235 35.9407158, 128.5595602 35.9408064, 128.5599669 35.940764, 128.5599269 35.9406567, 128.5595079 35.9407116, 128.5594235 35.9407158)",,,,,,,,,,
22,55779762,TRUE,trunk,1425.797,"LINESTRING (128.5562503 35.8951516, 128.5578704 35.895534, 128.5588574 35.8958469, 128.560338 35.8965508, 128.5618009 35.8974128, 128.5618722 35.8974548, 128.5629262 35.8982847, 128.5630202 35.8983587, 128.5637751 35.8989996, 128.5648012 35.8998708, 128.565799 35.9006965, 128.5660868 35.9008873, 128.5669792 35.9014787, 128.5685241 35.9023129, 128.5689477 35.9024939)",신천대로,,,,,,,,,
23,"[55695939, 532888812, 532888813]",TRUE,trunk,721.219,"LINESTRING (128.5910266 35.8958781, 128.591075 35.8953185, 128.5911729 35.8948362, 128.5912679 35.894462, 128.5913914 35.8940996, 128.5915748 35.8937029, 128.5918057 35.8932829, 128.5920203 35.8929266, 128.5924955 35.8922986, 128.5929438 35.8917708, 128.5933244 35.8913755, 128.5939969 35.8908023, 128.5946717 35.8903199)","['신천대로', '성북교지하차도']",,2,"['3', '11']",80,yes,,,,
24,532888817,TRUE,trunk_link,338.155,"LINESTRING (128.5910266 35.8958781, 128.5910006 35.8953856, 128.5910194 35.8951379, 128.5911588 35.8945404, 128.5912929 35.8941384, 128.5914378 35.8937864, 128.591655 35.8933475, 128.5918857 35.8929585)",,,,,,,,,,
25,55483223,TRUE,trunk_link,174.104,"LINESTRING (128.596377 35.8894315, 128.5972814 35.8889352, 128.5980259 35.8886195)",,,,,,,,,,
26,"[55483221, 55483213, 532888813]",TRUE,trunk,801.434,"LINESTRING (128.596377 35.8894315, 128.5967265 35.8892757, 128.5979918 35.8886909, 128.5981035 35.8886241, 128.5989082 35.8882069, 128.5992286 35.8879741, 128.5994553 35.8877897, 128.5998523 35.8874072, 128.6002707 35.886764, 128.6005821 35.8859091, 128.6006522 35.8853915, 128.6007576 35.883824)",신천대로,,2,11,80,yes,,,,
27,"[55779522, 55779527, 32813618, 55483221, 32813622]",TRUE,trunk,1282.556,"LINESTRING (128.6007576 35.883824, 128.6007977 35.8835191, 128.6011545 35.8820527, 128.6012601 35.8817929, 128.601396 35.8814649, 128.6017793 35.8808293, 128.6025882 35.8795665, 128.6037469 35.8780626, 128.6044335 35.8773758, 128.6053562 35.8765847, 128.6064291 35.8759327, 128.6076844 35.8752721, 128.6084968 35.8748506, 128.6086599 35.874766)","['신천대로', '신천고가차도']",yes,2,,,,,,,
28,55483208,TRUE,trunk,204.458,"LINESTRING (128.5965639 35.8893977, 128.5955339 35.8898801, 128.5946917 35.8904277)",신천대로,,,11,,,,,,
29,"[55483208, 532888814, 532888815]",TRUE,trunk,478.76,"LINESTRING (128.5946917 35.8904277, 128.5938388 35.8910318, 128.5931146 35.8917097, 128.5926157 35.8922965, 128.5920658 35.8930401, 128.5917856 35.8935111, 128.5916014 35.8938704)","['신천대로', '성북교지하차도']",,2,11,80,yes,,,,
30,532888831,TRUE,trunk_link,293.482,"LINESTRING (128.5946917 35.8904277, 128.5945672 35.8905384, 128.5943335 35.890746, 128.5939473 35.8910437, 128.593486 35.8914425, 128.5931292 35.8917988, 128.5928126 35.8921784, 128.5927215 35.8922877, 128.5925995 35.8924398)",,,,,,,,,,
31,879502650,TRUE,trunk_link,77.346,,,,,,,,,,,
32,55695959,TRUE,trunk,736.363,"LINESTRING (128.5874262 35.9036167, 128.584966 35.9036122, 128.5823375 35.9036556, 128.5810725 35.903692, 128.5792531 35.9037443)",신천대로,,,11,,,,,,
33,43545580,TRUE,trunk,943.286,"LINESTRING (128.5646188 35.8999665, 128.5637712 35.8992277, 128.5626769 35.8982891, 128.5625067 35.8981619, 128.5617113 35.8975678, 128.5612856 35.89731, 128.5605633 35.8968725, 128.5594261 35.8963075, 128.5585785 35.8959425, 128.5577523 35.8956992, 128.5561216 35.8952733)",신천대로,,,,,,,,,
34,55779763,TRUE,trunk_link,367.394,"LINESTRING (128.5561216 35.8952733, 128.5548102 35.8950129, 128.5540906 35.8948239, 128.5532058 35.8945994, 128.5527487 35.8944773, 128.5523306 35.8943, 128.5522485 35.8942673)",,,,,,,,,,
35,55691928,TRUE,trunk,30.682,,서변남로,,,,,,,,,
36,32815703,TRUE,motorway_link,428.071,"LINESTRING (128.5909366 35.9136185, 128.589161 35.9133622, 128.5883778 35.9133318, 128.5876912 35.9133492, 128.587026 35.913284, 128.5862964 35.9130016)",,,,,,,,,,
37,"[55691928, 32815670, 32815671]",TRUE,trunk,590.143,"LINESTRING (128.5909366 35.9136185, 128.5891878 35.9132623, 128.5883188 35.9131146, 128.5878897 35.9130016, 128.5875141 35.9128278, 128.5871708 35.9125845, 128.5868275 35.9121935, 128.5865807 35.9117242, 128.5861767 35.9107238)",서변남로,yes,,,,,,,,
38,"[822099696, 32815662, 822099694]",TRUE,trunk_link,537.497,"LINESTRING (128.5845001 35.905603, 128.5841667 35.9047593, 128.5841077 35.9045334, 128.5841345 35.9043117, 128.5841989 35.9040945, 128.5843921 35.9038468, 128.5846227 35.9036904, 128.5849339 35.903547, 128.5852289 35.9035416, 128.5864693 35.9035242, 128.5871625 35.9035417, 128.587865 35.9035217, 128.5879496 35.9035116)",,yes,,,,,,,,
39,"[822094726, 32815663]",TRUE,"['trunk_link', 'trunk']",581.976,"LINESTRING (128.5845001 35.905603, 128.5842955 35.905146, 128.58392 35.9046072, 128.5836625 35.9042509, 128.5833299 35.9039988, 128.5828256 35.9038077, 128.5822034 35.9037642, 128.5807013 35.9037729, 128.5797465 35.9037642, 128.5792531 35.9037443)",서변대교,yes,,,,,,,,
40,"[43545584, 43545580, 55695959]",TRUE,trunk,304.323,"LINESTRING (128.5792531 35.9037443, 128.5789995 35.9037409, 128.5787437 35.903752, 128.5775041 35.9037947, 128.5758759 35.9038077)",신천대로,yes,,11,,,,,,
41,"[32815672, 32815673, 55695954, 32815667]",TRUE,"['trunk_link', 'trunk']",398.227,"LINESTRING (128.5862157 35.9103297, 128.5863552 35.9107036, 128.5866988 35.9116981, 128.5869241 35.9121587, 128.587262 35.912528, 128.5875678 35.9127626, 128.5879433 35.9129234, 128.5883637 35.9130366, 128.5885578 35.9130603)",서변남로,yes,,,,,,,,
42,"[55695937, 32815679]",TRUE,motorway_link,586.352,"LINESTRING (128.5862157 35.9103297, 128.5864119 35.9106787, 128.5865861 35.9110204, 128.5867088 35.9112181, 128.5868704 35.9113984, 128.5871064 35.9115722, 128.5874927 35.9116808, 128.5879862 35.9117373, 128.5881485 35.9117688, 128.5882973 35.9118067, 128.5884037 35.9118926, 128.5884958 35.911985, 128.5885426 35.9121148, 128.5885709 35.9122413, 128.5885603 35.9123599, 128.5885334 35.9124628, 128.5883349 35.9126888, 128.5881257 35.9128582, 128.5877341 35.9130494, 128.5872888 35.9131624, 128.586849 35.9131493, 128.5862964 35.9130016)",,yes,,,,,,,,
43,32815673,TRUE,trunk_link,30.721,,,,,,,,,,,
44,55691910,TRUE,trunk_link,87.934,"LINESTRING (128.5984683 35.9158864, 128.5987458 35.9159587, 128.5990297 35.9159311, 128.5991659 35.9158453, 128.5992889 35.9156913)",,,,,,,,,,
45,"[32815665, 32815666, 32815663]",TRUE,trunk,589.35,"LINESTRING (128.5861767 35.9107238, 128.5860813 35.9103318, 128.5858305 35.9095629, 128.5851191 35.9074908, 128.5847986 35.9066543, 128.5845001 35.905603)",서변대교,yes,,서변남로,,,,,,
46,32815673,TRUE,trunk_link,554.363,"LINESTRING (128.5885578 35.9130603, 128.5891986 35.9131667, 128.5909742 35.9135142, 128.5923636 35.9138314, 128.5937878 35.9143448, 128.5944149 35.9145413)",,,,,,,,,,
47,32815676,TRUE,motorway_link,411.819,"LINESTRING (128.584657 35.9098625, 128.584215 35.9098125, 128.5829168 35.9096126, 128.5824984 35.909617, 128.5820746 35.9097169, 128.5818332 35.9098777, 128.581742 35.9101166, 128.5818064 35.9103295, 128.5820424 35.9105207, 128.5827002 35.9107565)",,,,,,,,,,
48,44668978,TRUE,motorway,605.438,"LINESTRING (128.584657 35.9098625, 128.5837361 35.9096514, 128.5796407 35.9088551, 128.5781289 35.9085651)",경부고속도로,,2,1;55,100,,,,,
49,32815676,TRUE,motorway_link,78.54,"LINESTRING (128.5827002 35.9107565, 128.5830724 35.91089, 128.5834729 35.9110814)",,,,,,,,,,
50,"[32815705, 32815701]",TRUE,motorway_link,662.862,"LINESTRING (128.5853201 35.9122803, 128.5857022 35.9125919, 128.5863286 35.9129407, 128.5868382 35.9130754, 128.5872674 35.9130928, 128.587659 35.9129972, 128.588072 35.9128061, 128.5882759 35.9126584, 128.5884368 35.9124281, 128.5884668 35.9123457, 128.5884851 35.9122456, 128.5884587 35.9121234, 128.58841 35.9120067, 128.5883456 35.9119315, 128.5882652 35.9118633, 128.5881172 35.9118244, 128.5879701 35.9118025, 128.5877394 35.9118242, 128.5875517 35.9119197, 128.587439 35.9120805, 128.5874069 35.9122456, 128.587439 35.9124498, 128.5875312 35.9125902, 128.5876483 35.9127061, 128.587895 35.9128321, 128.5881632 35.9129364, 128.5885578 35.9130603)",,yes,,,,,,,,
51,467932610,TRUE,motorway_link,313.242,"LINESTRING (128.5853201 35.9122803, 128.5857278 35.9125237, 128.5860389 35.9125975, 128.5862857 35.912541, 128.5864895 35.9123846, 128.5865754 35.9121544, 128.5865271 35.9118415, 128.5863769 35.9113202, 128.5861767 35.9107238)",,,,,,,,,,
52,"[467932608, 55695937, 467932609]",TRUE,motorway_link,313.525,"LINESTRING (128.5862964 35.9130016, 128.5856473 35.9126367, 128.5850251 35.9123368, 128.5839048 35.9117198, 128.5838181 35.9116721, 128.5836785 35.9115991, 128.5833917 35.9114491)",,,,,,,,,,
53,"[32815706, 32815707, 32815685]",TRUE,motorway_link,736.491,"LINESTRING (128.5818279 35.9106163, 128.5813236 35.9101992, 128.5811707 35.9099733, 128.5810661 35.9096279, 128.5810742 35.9092781, 128.5811278 35.9086589, 128.5811412 35.9083831, 128.5810768 35.9081658, 128.5810188 35.9080655, 128.5809266 35.9079616, 128.5808036 35.9078567, 128.5806531 35.9077617, 128.580358 35.9076879, 128.5801856 35.9076774, 128.5799986 35.9076879, 128.5798756 35.9077386, 128.5797626 35.9078226, 128.5796689 35.9079326, 128.5796177 35.9080876, 128.5796499 35.9082384, 128.5797357 35.9084048, 128.5801327 35.9086263, 128.5806494 35.9088172, 128.5819984 35.909214)",,yes,,,,,,,,
54,467932609,TRUE,motorway_link,411.748,"LINESTRING (128.5818279 35.9106163, 128.5813236 35.9103426, 128.5808837 35.9099777, 128.5804438 35.9095692, 128.5798967 35.9091695, 128.5794943 35.9089566, 128.5781289 35.9085651)",,,,,,,,,,
55,"[44668993, 44668995, 306547111, 306547112, 306547113, 306547114, 306547115, 306547116, 44668974, 800593039, 44668976, 800593040, 44668978, 44668984, 44668986, 44668987, 44668990]",TRUE,motorway,4536.011,"LINESTRING (128.5781289 35.9085651, 128.5774906 35.9084568, 128.5768868 35.9083305, 128.5756231 35.9081195, 128.574003 35.9077889, 128.5718293 35.907336, 128.5712637 35.9072369, 128.5685944 35.9066573, 128.5676959 35.9064122, 128.5635604 35.9051868, 128.5632534 35.9050868, 128.5623025 35.9048159, 128.5609123 35.9044311, 128.55986 35.9041121, 128.5593532 35.9039759, 128.5589747 35.9038407, 128.5585497 35.9036835, 128.5579914 35.9034241, 128.5573264 35.9030373, 128.5569577 35.9027854, 128.5564432 35.9023479, 128.5561747 35.9020615, 128.5559992 35.9018918, 128.5553442 35.9011729, 128.5548556 35.9006541, 128.5543394 35.9000759, 128.5538306 35.8994783, 128.5534335 35.8991056, 128.5531894 35.8988694, 128.5529317 35.8986578, 128.5526866 35.8984629, 128.5523323 35.8982389, 128.5518971 35.8979804, 128.5516627 35.8978614, 128.5513505 35.8977402, 128.5509601 35.8975905, 128.5505509 35.8974585, 128.550251 35.8973807, 128.5494928 35.8972206, 128.5478078 35.8968741, 128.5468513 35.8966768, 128.5445556 35.8962193, 128.5440488 35.8961375, 128.5434545 35.8960208, 128.5421863 35.895793, 128.5410846 35.8955923, 128.5402825 35.8954455, 128.5398475 35.8953489, 128.5390122 35.8951705, 128.5386335 35.8950947, 128.5379895 35.894947, 128.5373845 35.8947862, 128.5370673 35.8947071, 128.5326185 35.8936039)",경부고속도로,yes,2,1;55,100,,,,,
56,"[44669000, 44668977, 44668999]",TRUE,motorway,2759.95,"LINESTRING (128.5819984 35.909214, 128.5837606 35.9095639, 128.5859198 35.9100226, 128.587918 35.9103749, 128.5905098 35.9108984, 128.5922486 35.9112757, 128.5936802 35.9115898, 128.5949944 35.9118953, 128.5960767 35.9121288, 128.5975109 35.9124074, 128.5993798 35.9127184, 128.6011614 35.9130368, 128.6027288 35.9133074, 128.6037586 35.9134979, 128.6058017 35.9138797, 128.6081523 35.9143021, 128.6118119 35.9149343)",경부고속도로,yes,2,1;55,100,,,,,
57,577716110,FALSE,primary,18.606,,중앙대로,,,61,,,,,,
58,577716125,FALSE,primary,126.283,,중앙대로,,,61,,,,,,
59,549043589,TRUE,trunk_link,25.585,"LINESTRING (128.5983792 35.8881, 128.5985384 35.8881699, 128.5985435 35.8881721, 128.5986359 35.8881964)",,,,,,,,,,
60,55414726,FALSE,primary,200.56,,중앙대로,yes,,61,,,,,,
61,577716105,FALSE,primary,19.073,,중앙대로,,,61,,,,,,
62,579775400,TRUE,trunk_link,40.48,"LINESTRING (128.5985941 35.8888134, 128.5984435 35.8887565, 128.598361 35.8887485, 128.5982884 35.8887659, 128.5981894 35.8888269)",,,,,,,,,,
63,35971640,FALSE,secondary,45.483,,침산로,,,,,,,,,
64,37402964,FALSE,tertiary,92.734,,칠성남로,,,,,,,,,
65,37402964,FALSE,tertiary,33.005,,칠성남로,,,,,,,,,
66,32895746,FALSE,primary,194.834,"LINESTRING (128.5951091 35.8777322, 128.5951567 35.8778919, 128.5956217 35.8792438, 128.5956777 35.8794226)",중앙대로,,,61,,,,,,
67,37402964,FALSE,tertiary,79.796,"LINESTRING (128.5951091 35.8777322, 128.5948883 35.8777814, 128.5942501 35.8779067)",칠성남로,,,,,,,,,
68,37402964,FALSE,tertiary,88.687,"LINESTRING (128.5951091 35.8777322, 128.5953334 35.8776904, 128.596069 35.8775556)",칠성남로,,,,,,,,,
69,37402570,FALSE,tertiary,108.844,,칠성시장로,,,,,,,,,
70,37402964,FALSE,tertiary,76.816,,칠성남로,,,,,,,,,
71,37402964,FALSE,tertiary,158.816,,칠성남로,,,,,,,,,
72,306246677,FALSE,residential,62.566,,칠성시장로7길,,,,,,,,,
73,661869970,FALSE,residential,74.957,,칠성시장로,,,,,,,,,
74,37402944,FALSE,tertiary,16.444,,대구체육관로,,4,,,,,,,
75,577716099,FALSE,secondary,15.2,,연암로,,,13,,,,,,
76,584385628,FALSE,secondary,49.635,,연암로,,,13,,,,,,
77,37402005,FALSE,secondary,54.922,,옥산로,,,,,,,,,
78,760608757,FALSE,secondary,52.058,,원대로,,,,,,,,,
79,760609960,TRUE,secondary,41.589,"LINESTRING (128.5819062 35.8850889, 128.5816007 35.8852883, 128.5815401 35.8853156)",,,,,,,,,,
80,37402970,FALSE,primary,22.71,,침산남로,,,,,,,,,
81,37402970,FALSE,primary,17.85,,침산남로,,,,,,,,,
82,577716125,FALSE,primary,16.597,,중앙대로,,,61,,,,,,
83,577716125,FALSE,primary,185.343,,중앙대로,,,61,,,,,,
84,532888838,FALSE,secondary,152.754,,성북로,,,,,,,,,
85,532888838,FALSE,secondary,60.125,,성북로,,,,,,,,,
86,532888842,FALSE,secondary,118.698,,침산로,,,,,,,,,
87,532888842,FALSE,secondary,106.315,"LINESTRING (128.5898219 35.8918344, 128.5897769 35.8919866, 128.5897757 35.8927862)",침산로,,,,,,,,,
88,55482257,TRUE,primary_link,185.51,"LINESTRING (128.5471846 35.9055825, 128.5471053 35.9053367, 128.5469071 35.9043905, 128.5468013 35.9039441)",,,,,,,,,,
89,"[37394335, 55482243, 865204319]",TRUE,primary,485.047,"LINESTRING (128.5471846 35.9055825, 128.547146 35.9053104, 128.5467992 35.9037074, 128.5467515 35.903325, 128.5467495 35.9031337, 128.5467969 35.9028925, 128.5468814 35.9026351, 128.54701 35.90234, 128.54729 35.90173, 128.5473571 35.9015444, 128.547432 35.9013356)","['칠곡중앙대로', '팔달고가차도']",yes,,"['4;5;25', '4']",,,,,,
90,37399443,FALSE,secondary,69.997,,구암로,,,,,,,,,
91,37399443,FALSE,secondary,23.104,,구암로,,,,,,,,,
92,780821112,TRUE,primary,54.84,,,,,,,,,,,
93,561124992,FALSE,primary,56.957,,칠곡중앙대로,,,4,,,,,,
94,780821113,FALSE,primary,32.321,,칠곡중앙대로,,,4,,,,,,
95,468590004,FALSE,secondary,57.801,"LINESTRING (128.5464866 35.9205282, 128.5463058 35.9206502, 128.5461074 35.9208143, 128.5460281 35.9208904)",태전로,,,4,,,,,,
96,37398821,FALSE,residential,177.399,"LINESTRING (128.6106276 35.8797295, 128.6097569 35.8802288, 128.6090161 35.8806462)",대현남로5길,,,,,,,,,
97,584386583,FALSE,secondary,30.481,,경대로,,,,,,,,,
98,584386583,FALSE,secondary,40.208,,경대로,,,,,,,,,
99,35971686,FALSE,tertiary,251.787,,침산로22길,,,,,,,,,
100,577716125,FALSE,primary,86.941,,중앙대로,,,61,,,,,,
101,577716125,FALSE,primary,98.48,,중앙대로,,,61,,,,,,
102,35971686,FALSE,tertiary,191.839,,침산로22길,,,,,,,,,
103,577716121,FALSE,tertiary,99.414,,호암로,,,,,,,,,
104,720844417,FALSE,tertiary,140.316,,침산로22길,,,,,,,,,
105,893031131,FALSE,residential,115.211,,,,,,,,,,,
106,37402970,FALSE,primary,49.044,,침산남로,,,,,,,,,
107,37402970,FALSE,primary,259.951,,침산남로,,,,,,,,,
108,35971687,FALSE,residential,289.708,"LINESTRING (128.5953627 35.8874058, 128.5952407 35.8870519, 128.5947083 35.8855071, 128.594552 35.8850536, 128.5944978 35.8848964)",침산남로,,,,,,,,,
109,35971686,FALSE,tertiary,191.839,,침산로22길,,,,,,,,,
110,35971686,FALSE,tertiary,251.787,,침산로22길,,,,,,,,,
111,887853913,FALSE,service,21.052,,,,,,,,,,,
112,35971687,FALSE,residential,289.708,"LINESTRING (128.5944978 35.8848964, 128.594552 35.8850536, 128.5947083 35.8855071, 128.5952407 35.8870519, 128.5953627 35.8874058)",침산남로,,,,,,,,,
113,35971640,FALSE,secondary,205.285,,침산로,,,,,,,,,
114,35971640,FALSE,secondary,228.536,,침산로,,,,,,,,,
115,35971706,FALSE,tertiary,247.809,,침산로21길,,,,,,,,,
116,720844417,FALSE,tertiary,140.316,,침산로22길,,,,,,,,,
117,35971706,FALSE,tertiary,237.613,,침산로21길,,,,,,,,,
118,37400951,FALSE,tertiary,295.837,"LINESTRING (128.5856909 35.8866697, 128.58607 35.88782, 128.5861874 35.8882199, 128.58649 35.88925)",옥산로17길,,,,,,,,,
119,37400951,FALSE,tertiary,262.563,"LINESTRING (128.5856909 35.8866697, 128.58549 35.886, 128.58525 35.88531, 128.5849596 35.8849101, 128.5845413 35.8845545)",옥산로17길,,,,,,,,,
120,32895746,FALSE,primary,87.763,,중앙대로,,,61,,,,,,
121,37402966,FALSE,tertiary,83.778,,칠성로,,,,,,,,,
122,37402966,FALSE,tertiary,304.527,,칠성로,,,,,,,,,
